date,ret,
2024-09-04,-0.000898005,-0.089800528
2024-09-05,0.00270307,0.270307041
2024-09-06,-0.015908256,-1.59082564
2024-09-09,0.00900514,0.900513963
2024-09-10,0.005796332,0.579633193
2024-09-11,0.007661304,0.766130397
2024-09-12,0.00832693,0.832692984
2024-09-13,0.005463458,0.546345763
2024-09-16,0.001022198,0.102219846
2024-09-17,-0.00284709,-0.284709005
2024-09-18,-0.005799613,-0.579961348
2024-09-19,0.011953676,1.195367576
2024-09-20,0.002064841,0.206484142
2024-09-23,0.001278548,0.127854769
2024-09-24,0.005779346,0.577934559
2024-09-25,-0.002145434,-0.21454339
2024-09-26,0.003934571,0.393457148
2024-09-27,-0.003447993,-0.344799295
2024-09-30,-0.001870257,-0.187025722
2024-10-01,-0.001152721,-0.115272091
2024-10-02,-9.16E-05,-0.009160458
2024-10-03,-0.002475281,-0.24752811
2024-10-04,0.004208159,0.420815937
2024-10-07,-0.006979616,-0.697961588
2024-10-08,0.004503207,0.450320715
2024-10-09,0.000852976,0.085297641
2024-10-10,0.000909665,0.090966485
2024-10-11,0.003648497,0.364849725
2024-10-14,0.002543443,0.254344286
2024-10-15,-0.001771198,-0.177119755
2024-10-16,0.002723768,0.27237676
2024-10-17,-0.000252517,-0.025251715
2024-10-18,0.005094795,0.509479535
2024-10-21,-0.002003052,-0.200305219
2024-10-22,0.002418678,0.241867787
2024-10-23,-0.010130971,-1.013097072
2024-10-24,0.00549722,0.549721982
2024-10-25,0.001813586,0.181358557
2024-10-28,0.000108199,0.010819908
2024-10-29,0.005740496,0.574049571
2024-10-30,-0.001590129,-0.159012903
2024-10-31,-0.015478789,-1.54787889
2024-11-01,0.000247088,0.024708819
2024-11-04,0.000626603,0.062660256
2024-11-05,0.007211649,0.721164897
2024-11-06,0.005950251,0.595025093
2024-11-07,0.010953516,1.095351641
2024-11-08,0.000871773,0.087177283
2024-11-11,-0.00699172,-0.699172036
2024-11-12,-0.005709712,-0.570971212
2024-11-13,-0.005702228,-0.570222775
2024-11-14,-0.003365952,-0.336595245
2024-11-15,-0.013812003,-1.381200311
2024-11-18,0.007464099,0.746409903
2024-11-19,0.005726189,0.572618899
2024-11-20,9.15E-05,0.009146818
2024-11-21,0.003671906,0.367190608
2024-11-22,0.00461286,0.461285986
2024-11-25,-0.002547525,-0.254752505
2024-11-26,0.00255292,0.255291988
2024-11-27,-0.001798507,-0.17985066
2024-11-29,0.007120274,0.712027446
2024-12-02,0.00359599,0.359599043
2024-12-03,-0.00047217,-0.047216975
2024-12-04,0.005747402,0.574740169
2024-12-05,-0.003328921,-0.332892117
2024-12-06,0.003176185,0.31761846
2024-12-09,-0.000659378,-0.065937772
2024-12-10,0.001279639,0.127963863
2024-12-11,0.006810094,0.681009448
2024-12-12,-0.009138442,-0.913844229
2024-12-13,-0.001716604,-0.171660391
2024-12-16,0.006425221,0.642522131
2024-12-17,-0.002875021,-0.287502094
2024-12-18,-0.023411277,-2.341127728
2024-12-19,-0.003604257,-0.360425709
2024-12-20,0.00784734,0.784734002
2024-12-23,0.000634608,0.063460841
2024-12-24,0.0074054,0.740539994
2024-12-26,0.001510545,0.151054479
2024-12-27,-0.009015196,-0.901519639
2024-12-30,-0.005788068,-0.578806782
2024-12-31,-0.00310997,-0.310997025
2025-01-02,0.004137197,0.41371974
2025-01-03,0.006219396,0.621939635
2025-01-06,0.004583692,0.458369163
2025-01-07,-0.007405289,-0.740528879
2025-01-08,0.000769247,0.076924725
2025-01-10,-0.007784164,-0.778416449
2025-01-13,-0.003623658,-0.362365792
2025-01-14,0.001119294,0.111929446
2025-01-15,0.013769054,1.376905374
2025-01-16,0.000267369,0.026736933
2025-01-17,0.006843641,0.684364067
2025-01-21,0.00773911,0.773911034
2025-01-22,0.004241448,0.424144778
2025-01-23,-8.17E-05,-0.008172592
2025-01-24,0.00126277,0.126276972
2025-01-27,-0.010793823,-1.079382304
2025-01-28,0.007862836,0.786283572
2025-01-29,-0.002766517,-0.276651692
2025-01-30,0.00611864,0.61186402
2025-01-31,-0.002196151,-0.219615147
2025-02-03,-0.00198863,-0.198862959
